id,code,name,account_type,chart_template_id:id,reconcile
412001_account_Muhlhel,412001,Service Revenues,income,account_arabic_coa_general,FALSE
412002_account_Muhlhel,412002,Returns of sales services,income,account_arabic_coa_general,FALSE
421001_account_Muhlhel,421001,Property rental income,income,account_arabic_coa_general,FALSE
421002_account_Muhlhel,421002,Rental income of ATM areas,income,account_arabic_coa_general,FALSE
421003_account_Muhlhel,421003,Revenue of advertising space,income,account_arabic_coa_general,FALSE
422001_account_Muhlhel,422001,Operating income for others,income,account_arabic_coa_general,FALSE
422002_account_Muhlhel,422002,Deductions for demurrages Revenues ,income,account_arabic_coa_general,FALSE
422003_account_Muhlhel,422003,Penalties and absence of workers,income,account_arabic_coa_general,FALSE
422004_account_Muhlhel,422004,Service Revenues ,income,account_arabic_coa_general,FALSE
422005_account_Muhlhel,422005,Revenue from compensation and fines to others,income,account_arabic_coa_general,FALSE
422006_account_Muhlhel,422006,Revenue of the difference,income,account_arabic_coa_general,FALSE
423001_account_Muhlhel,423001,Sales revenue of assets,other_income,account_arabic_coa_general,FALSE
432002_account_Muhlhel,432002,Assets replacement income,other_income,account_arabic_coa_general,FALSE
